Force_Target_N,Force_Actual_N,force_rescaled_N,Aspect_Ratio_a_b,muscle_b_cm,muscle_a_cm,Volume_cm3,surface_area_cm2,traction_N_cm2,Am,Rho,Initial_Length_cm,Final_Length_cm,Elongation_cm,Strain
36,2.751163,2.1299100158519786,6.88,27.124289,3.942484,421.6,15.543180090256,0.17700129471733397,550,10.493,27.124289,27.575964191439496,0.451675191439496,0.016652
3,0.208143,0.17749205237916907,7.9533,29.876603,3.756504,421.6,14.111322302016001,0.014750070584828457,550,10.493,29.876603,29.916856082480887,0.040253082480887,0.001347
15,1.146318,0.8874625711204346,6.88,27.124289,3.942484,421.6,15.543180090256,0.07375054482696403,550,10.493,27.124289,27.308962537947817,0.184673537947817,0.006808
30,2.292636,1.7749251422408692,6.88,27.124289,3.942484,421.6,15.543180090256,0.14750108965392805,550,10.493,27.124289,27.49864057688411,0.374351576884114,0.013801
27,2.063372,1.5974323183426533,6.88,27.124289,3.942484,421.6,15.543180090256,0.13275095495377587,550,10.493,27.124289,27.460293658807117,0.336004658807117,0.012387
33,2.521899,1.9524171919537625,6.88,27.124289,3.942484,421.6,15.543180090256,0.16225116001718176,550,10.493,27.124289,27.537196643913617,0.412907643913614,0.015222
0,0.0,0.0,6.88,27.124289,3.942484,421.6,15.543180090256,0.0,550,10.493,27.124289,27.124288999999987,-1.3e-14,0.0
9,0.68779,0.5324769233240024,6.88,27.124289,3.942484,421.6,15.543180090256,0.044250275426659616,550,10.493,27.124289,27.234505031502927,0.110216031502927,0.004063
0,0.0,0.0,7.9533,29.876603,3.756504,421.6,14.111322302016001,0.0,550,10.493,29.876603,29.87660300000001,1e-14,0.0
45,3.438954,2.662387713361304,6.88,27.124289,3.942484,421.6,15.543180090256,0.2212516344808921,550,10.493,27.124289,27.693553715492737,0.569264715492737,0.020987
39,2.980427,2.307402839750195,6.88,27.124289,3.942484,421.6,15.543180090256,0.1917514294174862,550,10.493,27.124289,27.614944911086045,0.490655911086045,0.018089
21,1.604845,1.242447444731544,6.88,27.124289,3.942484,421.6,15.543180090256,0.10325074989036995,550,10.493,27.124289,27.384220516751625,0.259931516751622,0.009582
42,3.20969,2.484894889463088,6.88,27.124289,3.942484,421.6,15.543180090256,0.2065014997807399,550,10.493,27.124289,27.654140707999755,0.529851707999755,0.019534
18,1.375581,1.0649546208333278,6.88,27.124289,3.942484,421.6,15.543180090256,0.08850061519021774,550,10.493,27.124289,27.34649050193917,0.22220150193917,0.008191
24,1.834109,1.4199402686297602,6.88,27.124289,3.942484,421.6,15.543180090256,0.11800088459052216,550,10.493,27.124289,27.42215434616669,0.29786534616669,0.010981
6,0.458527,0.3549848736111093,6.88,27.124289,3.942484,421.6,15.543180090256,0.029500205063405914,550,10.493,27.124289,27.197572293187747,0.073283293187747,0.002701
12,0.917054,0.7099697472222186,6.88,27.124289,3.942484,421.6,15.543180090256,0.05900041012681183,550,10.493,27.124289,27.271635235393777,0.147346235393777,0.005432
3,0.229263,0.17749204971289312,6.88,27.124289,3.942484,421.6,15.543180090256,0.0147500703632537,550,10.493,27.124289,27.16083386516492,0.03654486516492,0.001347
12,0.832574,0.7099699149985074,7.9533,29.876603,3.756504,421.6,14.111322302016001,0.05900042406947612,550,10.493,29.876603,30.03889978504245,0.162296785042446,0.005432
21,1.457004,1.2424469248769299,7.9533,29.876603,3.756504,421.6,14.111322302016001,0.10325070668904263,550,10.493,29.876603,30.162909816307923,0.286306816307923,0.009582
9,0.62443,0.5324770098784227,7.9533,29.876603,3.756504,421.6,14.111322302016001,0.04425028261956652,550,10.493,29.876603,29.998002594018555,0.121399594018555,0.004063
27,1.873292,1.5974327351170992,7.9533,29.876603,3.756504,421.6,14.111322302016001,0.13275098958886183,550,10.493,29.876603,30.24670229096607,0.37009929096607,0.012387
24,1.665148,1.4199398299970147,7.9533,29.876603,3.756504,421.6,14.111322302016001,0.11800084813895224,550,10.493,29.876603,30.20469281234182,0.32808981234182,0.010981
15,1.040717,0.8874619673776762,7.9533,29.876603,3.756504,421.6,14.111322302016001,0.07375049465430457,550,10.493,29.876603,30.080015269856823,0.203412269856823,0.006808
18,1.248861,1.0649548724977609,7.9533,29.876603,3.756504,421.6,14.111322302016001,0.08850063610421417,550,10.493,29.876603,30.121351436889015,0.244748436889018,0.008191
6,0.382594,0.3549847298976901,9.0267,32.507656,3.601278,421.6,12.969203233284002,0.02950019312043129,550,10.493,32.507656,32.595483407015784,0.087827407015784,0.002701
