,prestretch_force,range_of_motion
0,22.843455137648718,5.522170474104541
1,6.941409587860107,3.8550768769757724
2,22.75736427307129,5.511039819032554
3,23.083763122558594,5.5541930548447525
4,23.68938636779785,5.6354652381639525
5,24.84987449645996,5.792058592025384
6,27.416261672973633,6.14360049493083
7,31.20876121520996,6.7072930784366775
8,36.571685791015625,7.366609167951786
9,42.71929168701172,8.448438588365875
10,52.171756744384766,7.546890934131852
11,45.668636322021484,8.882258308281145
12,46.40019607543945,8.869661916602112
13,46.38743209838867,8.870427861384542
