volume_cm3,aspect_ratio_a_b,muscle_extent_y_b_cm,muscle_extent_x_a_cm,top_surface_area_cm2,volume_check_cm3
421.6,6.88,2.072881975706151,14.26142799285832,203.3883283954829,421.6
421.6,7.953333333333333,1.8819182086360011,14.967522819351663,224.02673934781274,421.60000000000014
421.6,9.026666666666667,1.7296116314646646,15.61262766002104,243.75414245045405,421.6000000000001
421.6,10.1,1.6047939739103496,16.20841913649453,262.7128509042821,421.6000000000001
455.9,6.88,2.127637184865885,14.638143831877287,214.27525484272704,455.8999999999998
455.9,7.953333333333333,1.931629106961639,15.362890164034901,236.01839419220033,455.9
455.9,9.026666666666667,1.7752993492198896,16.025035458958204,256.8017614608678,455.8999999999999
455.9,10.1,1.6471846313281735,16.636564776414552,276.77528755983735,455.8999999999999
573.5,6.88,2.296777095815775,15.801826419212532,249.69771818292313,573.5
573.5,7.953333333333333,2.0851870431848214,16.584187616796612,275.0352789091101,573.4999999999999
573.5,9.026666666666667,1.9164296020526241,17.298971207861687,299.25440485042765,573.4999999999999
573.5,10.1,1.7781302003578088,17.95911502361387,322.5298124313934,573.5
691.2,6.88,2.4442312049209702,16.816310689856277,282.7883052177745,691.2
691.2,7.953333333333333,2.219056976984952,17.64889982362032,311.48366498418534,691.1999999999999
691.2,9.026666666666667,2.0394652332195764,18.40957283852871,338.912372097094,691.1999999999997
691.2,10.1,1.8922869485439784,19.112098180294183,365.27229685320424,691.2
738.0,6.88,2.498195922158952,17.18758794445359,295.41317934832637,738.0
738.0,7.953333333333333,2.2680502072721973,18.038559315171543,325.38962216696206,738.0000000000002
738.0,9.026666666666667,2.0844933649306054,18.816026774106934,354.042863563909,737.9999999999999
738.0,10.1,1.9340656190337862,19.53406275224124,381.57960760849863,738.0000000000001
