volume_cm3,aspect_ratio_a_b,muscle_extent_y_b_cm,muscle_extent_x_a_cm,top_surface_area_cm2,force_target_N,force_actual_N,stress_N_cm2
421.6,6.88,2.072881975706151,14.26142799285832,203.3883283954829,0,0.0,0.0
421.6,6.88,2.072881975706151,14.26142799285832,203.3883283954829,3,3.0,0.014750108935290447
421.6,6.88,2.072881975706151,14.26142799285832,203.3883283954829,6,6.0,0.029500217870580894
421.6,6.88,2.072881975706151,14.26142799285832,203.3883283954829,9,9.0,0.04425032680587134
421.6,6.88,2.072881975706151,14.26142799285832,203.3883283954829,12,12.0,0.05900043574116179
421.6,6.88,2.072881975706151,14.26142799285832,203.3883283954829,15,15.0,0.07375054467645224
421.6,6.88,2.072881975706151,14.26142799285832,203.3883283954829,18,18.0,0.08850065361174268
421.6,6.88,2.072881975706151,14.26142799285832,203.3883283954829,21,21.0,0.10325076254703314
421.6,6.88,2.072881975706151,14.26142799285832,203.3883283954829,24,24.0,0.11800087148232358
421.6,6.88,2.072881975706151,14.26142799285832,203.3883283954829,27,27.0,0.13275098041761402
421.6,6.88,2.072881975706151,14.26142799285832,203.3883283954829,30,30.0,0.14750108935290449
421.6,6.88,2.072881975706151,14.26142799285832,203.3883283954829,33,33.0,0.16225119828819493
421.6,6.88,2.072881975706151,14.26142799285832,203.3883283954829,36,36.0,0.17700130722348537
421.6,6.88,2.072881975706151,14.26142799285832,203.3883283954829,39,39.0,0.1917514161587758
421.6,6.88,2.072881975706151,14.26142799285832,203.3883283954829,42,42.0,0.20650152509406627
421.6,6.88,2.072881975706151,14.26142799285832,203.3883283954829,45,45.0,0.22125163402935671
421.6,7.953333333333333,1.8819182086360011,14.967522819351663,224.02673934781274,0,0.0,0.0
421.6,7.953333333333333,1.8819182086360011,14.967522819351663,224.02673934781274,3,3.3044188097981566,0.014750108935290447
421.6,7.953333333333333,1.8819182086360011,14.967522819351663,224.02673934781274,6,6.608837619596313,0.029500217870580894
421.6,7.953333333333333,1.8819182086360011,14.967522819351663,224.02673934781274,9,9.91325642939447,0.04425032680587135
421.6,7.953333333333333,1.8819182086360011,14.967522819351663,224.02673934781274,12,13.217675239192626,0.05900043574116179
421.6,7.953333333333333,1.8819182086360011,14.967522819351663,224.02673934781274,15,16.522094048990784,0.07375054467645224
421.6,7.953333333333333,1.8819182086360011,14.967522819351663,224.02673934781274,18,19.82651285878894,0.0885006536117427
421.6,7.953333333333333,1.8819182086360011,14.967522819351663,224.02673934781274,21,23.1309316685871,0.10325076254703314
421.6,7.953333333333333,1.8819182086360011,14.967522819351663,224.02673934781274,24,26.435350478385253,0.11800087148232358
421.6,7.953333333333333,1.8819182086360011,14.967522819351663,224.02673934781274,27,29.73976928818341,0.13275098041761402
421.6,7.953333333333333,1.8819182086360011,14.967522819351663,224.02673934781274,30,33.04418809798157,0.14750108935290449
421.6,7.953333333333333,1.8819182086360011,14.967522819351663,224.02673934781274,33,36.348606907779725,0.16225119828819493
421.6,7.953333333333333,1.8819182086360011,14.967522819351663,224.02673934781274,36,39.65302571757788,0.1770013072234854
421.6,7.953333333333333,1.8819182086360011,14.967522819351663,224.02673934781274,39,42.95744452737604,0.19175141615877583
421.6,7.953333333333333,1.8819182086360011,14.967522819351663,224.02673934781274,42,46.2618633371742,0.20650152509406627
421.6,7.953333333333333,1.8819182086360011,14.967522819351663,224.02673934781274,45,49.566282146972355,0.22125163402935674
421.6,9.026666666666667,1.7296116314646646,15.61262766002104,243.75414245045405,0,0.0,0.0
421.6,9.026666666666667,1.7296116314646646,15.61262766002104,243.75414245045405,3,3.595400154572503,0.014750108935290447
421.6,9.026666666666667,1.7296116314646646,15.61262766002104,243.75414245045405,6,7.190800309145006,0.029500217870580894
421.6,9.026666666666667,1.7296116314646646,15.61262766002104,243.75414245045405,9,10.78620046371751,0.04425032680587135
421.6,9.026666666666667,1.7296116314646646,15.61262766002104,243.75414245045405,12,14.381600618290012,0.05900043574116179
421.6,9.026666666666667,1.7296116314646646,15.61262766002104,243.75414245045405,15,17.977000772862517,0.07375054467645224
421.6,9.026666666666667,1.7296116314646646,15.61262766002104,243.75414245045405,18,21.57240092743502,0.0885006536117427
421.6,9.026666666666667,1.7296116314646646,15.61262766002104,243.75414245045405,21,25.16780108200752,0.10325076254703314
421.6,9.026666666666667,1.7296116314646646,15.61262766002104,243.75414245045405,24,28.763201236580024,0.11800087148232358
421.6,9.026666666666667,1.7296116314646646,15.61262766002104,243.75414245045405,27,32.358601391152526,0.13275098041761402
421.6,9.026666666666667,1.7296116314646646,15.61262766002104,243.75414245045405,30,35.954001545725035,0.14750108935290449
421.6,9.026666666666667,1.7296116314646646,15.61262766002104,243.75414245045405,33,39.54940170029754,0.16225119828819495
421.6,9.026666666666667,1.7296116314646646,15.61262766002104,243.75414245045405,36,43.14480185487004,0.1770013072234854
421.6,9.026666666666667,1.7296116314646646,15.61262766002104,243.75414245045405,39,46.74020200944254,0.19175141615877583
421.6,9.026666666666667,1.7296116314646646,15.61262766002104,243.75414245045405,42,50.33560216401504,0.20650152509406627
421.6,9.026666666666667,1.7296116314646646,15.61262766002104,243.75414245045405,45,53.931002318587545,0.22125163402935671
