experiment,runtime_seconds,runtime_minutes,runtime_hours
4x4_0N,434.61,7.2435,0.120725
4x4_31N,454.17,7.569500000000001,0.12615833333333334
8x8_0N,5283.52,88.05866666666667,1.4676444444444445
8x8_31N,5319.26,88.65433333333334,1.4775722222222223
