experiment,mesh,force,initial_length_cm,final_length_cm,elongation_cm,strain,ROM_cm
4x4_0N,4x4,0N,34.97000000000002,34.97000000000002,0.0,0.0,34.97000000000002
4x4_31N,4x4,31N,34.97000000000002,41.95829698752931,6.988296987529289,0.19983691700112338,41.95829698752931
8x8_0N,8x8,0N,34.96999999999996,34.96999999999996,0.0,0.0,34.96999999999996
8x8_31N,8x8,31N,34.96999999999996,41.95829687361337,6.9882968736134075,0.19983691374359208,41.95829687361337
