  TimeWindow  Iteration  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)
    90       1              inf              inf   3.00570259e-08              inf              inf   0.00000000e+00
    91       1              inf              inf   3.10654463e-08              inf              inf   0.00000000e+00
    92       1              inf              inf   3.20831249e-08              inf              inf   0.00000000e+00
    93       1              inf              inf   3.31343921e-08              inf              inf   0.00000000e+00
    94       1              inf              inf   3.41584507e-08              inf              inf   0.00000000e+00
    95       1              inf              inf   3.52192110e-08              inf              inf   0.00000000e+00
    96       1              inf              inf   3.62568729e-08              inf              inf   0.00000000e+00
    97       1              inf              inf   3.73324571e-08              inf              inf   0.00000000e+00
    98       1              inf              inf   3.83985300e-08              inf              inf   0.00000000e+00
    99       1              inf              inf   3.94621589e-08              inf              inf   0.00000000e+00
   100       1              inf              inf   4.05383795e-08              inf              inf   0.00000000e+00
   101       1              inf              inf   4.16177160e-08              inf              inf   0.00000000e+00
   102       1              inf              inf   4.27110270e-08              inf              inf   0.00000000e+00
   103       1              inf              inf   4.37866144e-08              inf              inf   0.00000000e+00
   104       1              inf              inf   4.48805233e-08              inf              inf   0.00000000e+00
   105       1              inf              inf   4.59728167e-08              inf              inf   0.00000000e+00
   106       1              inf              inf   4.70620192e-08              inf              inf   0.00000000e+00
   107       1              inf              inf   4.81684034e-08              inf              inf   0.00000000e+00
   108       1              inf              inf   4.92467792e-08              inf              inf   0.00000000e+00
   109       1              inf              inf   5.03628902e-08              inf              inf   0.00000000e+00
   110       1              inf              inf   5.14456607e-08              inf              inf   0.00000000e+00
   111       1              inf              inf   5.25472567e-08              inf              inf   0.00000000e+00
   112       1              inf              inf   5.36397505e-08              inf              inf   0.00000000e+00
   113       1              inf              inf   5.47458443e-08              inf              inf   0.00000000e+00
   114       1              inf              inf   5.58180545e-08              inf              inf   0.00000000e+00
   115       1              inf              inf   5.69385305e-08              inf              inf   0.00000000e+00
   116       1              inf              inf   5.79973023e-08              inf              inf   0.00000000e+00
   117       1              inf              inf   5.91071568e-08              inf              inf   0.00000000e+00
   118       1              inf              inf   6.01726945e-08              inf              inf   0.00000000e+00
   119       1              inf              inf   6.12669607e-08              inf              inf   0.00000000e+00
   120       1              inf              inf   6.23381537e-08              inf              inf   0.00000000e+00
   121       1              inf              inf   6.34040417e-08              inf              inf   0.00000000e+00
   122       1              inf              inf   6.44791494e-08              inf              inf   0.00000000e+00
   123       1              inf              inf   6.55315660e-08              inf              inf   0.00000000e+00
   124       1              inf              inf   6.66031259e-08              inf              inf   0.00000000e+00
   125       1              inf              inf   6.76260764e-08              inf              inf   0.00000000e+00
   126       1              inf              inf   6.86960164e-08              inf              inf   0.00000000e+00
   127       1              inf              inf   6.97134320e-08              inf              inf   0.00000000e+00
   128       1              inf              inf   7.07589936e-08              inf              inf   0.00000000e+00
   129       1              inf              inf   7.17610805e-08              inf              inf   0.00000000e+00
   130       1              inf              inf   7.27851813e-08              inf              inf   0.00000000e+00
   131       1              inf              inf   7.37812953e-08              inf              inf   0.00000000e+00
   132       1              inf              inf   7.47747762e-08              inf              inf   0.00000000e+00
   133       1              inf              inf   7.57646405e-08              inf              inf   0.00000000e+00
   134       1              inf              inf   7.67285598e-08              inf              inf   0.00000000e+00
   135       1              inf              inf   7.76927929e-08              inf              inf   0.00000000e+00
   136       1              inf              inf   7.86377806e-08              inf              inf   0.00000000e+00
   137       1              inf              inf   7.95882426e-08              inf              inf   0.00000000e+00
   138       1              inf              inf   8.04974821e-08              inf              inf   0.00000000e+00
   139       1              inf              inf   8.14290443e-08              inf              inf   0.00000000e+00
   140       1              inf              inf   8.23471576e-08              inf              inf   0.00000000e+00
   141       1              inf              inf   8.32422694e-08              inf              inf   0.00000000e+00
   142       1              inf              inf   8.41476152e-08              inf              inf   0.00000000e+00
   143       1              inf              inf   8.50175365e-08              inf              inf   0.00000000e+00
   144       1              inf              inf   8.59040659e-08              inf              inf   0.00000000e+00
   145       1              inf              inf   8.67498955e-08              inf              inf   0.00000000e+00
   146       1              inf              inf   8.76065947e-08              inf              inf   0.00000000e+00
   147       1              inf              inf   8.84273173e-08              inf              inf   0.00000000e+00
   148       1              inf              inf   8.92462309e-08              inf              inf   0.00000000e+00
   149       1              inf              inf   9.00395231e-08              inf              inf   0.00000000e+00
   150       1              inf              inf   9.08257044e-08              inf              inf   0.00000000e+00
   151       1              inf              inf   9.15792922e-08              inf              inf   0.00000000e+00
   152       1              inf              inf   9.23310344e-08              inf              inf   0.00000000e+00
   153       1              inf              inf   9.30434218e-08              inf              inf   0.00000000e+00
   154       1              inf              inf   9.37490569e-08              inf              inf   0.00000000e+00
   155       1              inf              inf   9.44260181e-08              inf              inf   0.00000000e+00
   156       1              inf              inf   9.50870003e-08              inf              inf   0.00000000e+00
   157       1              inf              inf   9.57262260e-08              inf              inf   0.00000000e+00
   158       1              inf              inf   9.63297448e-08              inf              inf   0.00000000e+00
