  TimeWindow  Iteration  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)
    90       1              inf              inf   2.28515355e-08              inf              inf   0.00000000e+00
    91       1              inf              inf   2.37987232e-08              inf              inf   0.00000000e+00
    92       1              inf              inf   2.47711431e-08              inf              inf   0.00000000e+00
    93       1              inf              inf   2.57574090e-08              inf              inf   0.00000000e+00
    94       1              inf              inf   2.67188094e-08              inf              inf   0.00000000e+00
    95       1              inf              inf   2.77142448e-08              inf              inf   0.00000000e+00
    96       1              inf              inf   2.87086811e-08              inf              inf   0.00000000e+00
    97       1              inf              inf   2.96943387e-08              inf              inf   0.00000000e+00
    98       1              inf              inf   3.06953274e-08              inf              inf   0.00000000e+00
    99       1              inf              inf   3.16830661e-08              inf              inf   0.00000000e+00
   100       1              inf              inf   3.26841214e-08              inf              inf   0.00000000e+00
   101       1              inf              inf   3.36713408e-08              inf              inf   0.00000000e+00
   102       1              inf              inf   3.46715072e-08              inf              inf   0.00000000e+00
   103       1              inf              inf   3.56414790e-08              inf              inf   0.00000000e+00
   104       1              inf              inf   3.66395301e-08              inf              inf   0.00000000e+00
   105       1              inf              inf   3.76059497e-08              inf              inf   0.00000000e+00
   106       1              inf              inf   3.85652767e-08              inf              inf   0.00000000e+00
   107       1              inf              inf   3.95366796e-08              inf              inf   0.00000000e+00
   108       1              inf              inf   4.04800697e-08              inf              inf   0.00000000e+00
   109       1              inf              inf   4.14130431e-08              inf              inf   0.00000000e+00
   110       1              inf              inf   4.23431008e-08              inf              inf   0.00000000e+00
   111       1              inf              inf   4.32568477e-08              inf              inf   0.00000000e+00
   112       1              inf              inf   4.41536204e-08              inf              inf   0.00000000e+00
   113       1              inf              inf   4.50390598e-08              inf              inf   0.00000000e+00
   114       1              inf              inf   4.59101291e-08              inf              inf   0.00000000e+00
   115       1              inf              inf   4.67503122e-08              inf              inf   0.00000000e+00
   116       1              inf              inf   4.76063895e-08              inf              inf   0.00000000e+00
   117       1              inf              inf   4.84000204e-08              inf              inf   0.00000000e+00
   118       1              inf              inf   4.92162219e-08              inf              inf   0.00000000e+00
   119       1              inf              inf   4.99754015e-08              inf              inf   0.00000000e+00
   120       1              inf              inf   5.07557561e-08              inf              inf   0.00000000e+00
   121       1              inf              inf   5.14769682e-08              inf              inf   0.00000000e+00
   122       1              inf              inf   5.22037697e-08              inf              inf   0.00000000e+00
   123       1              inf              inf   5.28849169e-08              inf              inf   0.00000000e+00
   124       1              inf              inf   5.35840891e-08              inf              inf   0.00000000e+00
   125       1              inf              inf   5.42102564e-08              inf              inf   0.00000000e+00
   126       1              inf              inf   5.48655247e-08              inf              inf   0.00000000e+00
   127       1              inf              inf   5.54572983e-08              inf              inf   0.00000000e+00
   128       1              inf              inf   5.60605270e-08              inf              inf   0.00000000e+00
   129       1              inf              inf   5.66132100e-08              inf              inf   0.00000000e+00
   130       1              inf              inf   5.71732642e-08              inf              inf   0.00000000e+00
   131       1              inf              inf   5.76923782e-08              inf              inf   0.00000000e+00
   132       1              inf              inf   5.82028020e-08              inf              inf   0.00000000e+00
   133       1              inf              inf   5.86915642e-08              inf              inf   0.00000000e+00
   134       1              inf              inf   5.91555336e-08              inf              inf   0.00000000e+00
   135       1              inf              inf   5.96032001e-08              inf              inf   0.00000000e+00
   136       1              inf              inf   6.00637803e-08              inf              inf   0.00000000e+00
   137       1              inf              inf   6.04568369e-08              inf              inf   0.00000000e+00
   138       1              inf              inf   6.08911641e-08              inf              inf   0.00000000e+00
   139       1              inf              inf   6.12895190e-08              inf              inf   0.00000000e+00
   140       1              inf              inf   6.17245822e-08              inf              inf   0.00000000e+00
   141       1              inf              inf   6.21178800e-08              inf              inf   0.00000000e+00
   142       1              inf              inf   6.25576855e-08              inf              inf   0.00000000e+00
   143       1              inf              inf   6.29590076e-08              inf              inf   0.00000000e+00
   144       1              inf              inf   6.33914875e-08              inf              inf   0.00000000e+00
   145       1              inf              inf   6.38281450e-08              inf              inf   0.00000000e+00
   146       1              inf              inf   6.42570353e-08              inf              inf   0.00000000e+00
   147       1              inf              inf   6.47053270e-08              inf              inf   0.00000000e+00
   148       1              inf              inf   6.51617985e-08              inf              inf   0.00000000e+00
   149       1              inf              inf   6.56348358e-08              inf              inf   0.00000000e+00
   150       1              inf              inf   6.61031937e-08              inf              inf   0.00000000e+00
